Airline,Source,Destination,Dep time,Arr time,Duration,Total stops,Date,Price
Vistara,BOM,BLR,17:30,19:15,1h45m,direct,2022-01-01,5418
GoFirst,BOM,BLR,06:05,07:40,1h35m,direct,2022-01-01,5100
GoFirst,BOM,BLR,14:35,16:10,1h35m,direct,2022-01-01,5100
IndiGo,BOM,BLR,08:30,10:05,1h35m,direct,2022-01-01,5103
IndiGo,BOM,BLR,06:55,08:30,1h35m,direct,2022-01-01,5103
IndiGo,BOM,BLR,07:45,09:25,1h40m,direct,2022-01-01,5103
Vistara,BOM,BLR,06:00,07:50,1h50m,direct,2022-01-01,5103
Vistara,BOM,BLR,07:00,08:50,1h50m,direct,2022-01-01,5103
Vistara,BOM,BLR,09:05,10:45,1h40m,direct,2022-01-01,5996
Vistara,BOM,BLR,19:10,20:55,1h45m,direct,2022-01-01,5996
IndiGo,BOM,BLR,09:30,11:20,1h50m,direct,2022-01-01,5208
IndiGo,BOM,BLR,18:50,20:35,1h45m,direct,2022-01-01,5313
IndiGo,BOM,BLR,20:30,22:15,1h45m,direct,2022-01-01,5313
AirAsiaIndia,BOM,BLR,20:10,21:55,1h45m,direct,2022-01-01,5625
IndiGo,BOM,BLR,17:10,18:55,1h45m,direct,2022-01-01,5628
IndiGo,BOM,BLR,14:20,16:05,1h45m,direct,2022-01-01,6258
Vistara,BOM,BLR,16:00,17:45,1h45m,direct,2022-01-01,6521
AirAsiaIndia,BOM,BLR,13:05,14:45,1h40m,direct,2022-01-01,6651
IndiGo,BOM,BLR,01:15,02:50,1h35m,direct,2022-01-01,5098
IndiGo,BOM,BLR,04:50,06:40,1h50m,direct,2022-01-01,4895
IndiGo,BOM,BLR,22:15,00:05,1h50m,direct,2022-01-01,5103
AirAsiaIndia,BOM,BLR,21:20,23:15,1h55m,direct,2022-01-01,5625
Vistara,BOM,BLR,21:00,22:50,1h50m,direct,2022-01-01,5996
GoFirst,BOM,BLR,20:20,22:05,1h45m,direct,2022-01-01,9090
Vistara,BOM,BLR,16:00,17:45,1h45m,direct,2022-01-01,6516
IndiGo,BOM,BLR,01:15,02:50,1h35m,direct,2022-01-01,4895
IndiGo,BOM,BLR,14:20,16:05,1h45m,direct,2022-01-01,6251
AirAsiaIndia,BOM,BLR,13:05,14:45,1h40m,direct,2022-01-01,6649
IndiGo,BOM,BLR,04:50,06:40,1h50m,direct,2022-01-01,4895
IndiGo,BOM,BLR,22:15,00:05,1h50m,direct,2022-01-01,5103
AirAsiaIndia,BOM,BLR,21:20,23:15,1h55m,direct,2022-01-01,5623
Vistara,BOM,BLR,21:00,22:50,1h50m,direct,2022-01-01,5996
