Airline,Source,Destination,Dep time,Arr time,Duration,Total stops,Date,Price
Vistara,BOM,DEL,20.55,23.00,2h05m,direct,01-01-2022,6244
Vistara,BOM,DEL,12.25,14.30,2h05m,direct,01-01-2022,6244
Vistara,BOM,DEL,6.00,8.05,2h05m,direct,01-01-2022,6244
Vistara,BOM,DEL,19.45,21.55,2h10m,direct,01-01-2022,6244
Vistara,BOM,DEL,11.55,14.05,2h10m,direct,01-01-2022,6244
Vistara,BOM,DEL,17.35,19.45,2h10m,direct,01-01-2022,6244
Vistara,BOM,DEL,18.30,20.40,2h10m,direct,01-01-2022,6244
Vistara,BOM,DEL,22.45,0.55,2h10m,direct,01-01-2022,6244
Vistara,BOM,DEL,10.25,12.40,2h15m,direct,01-01-2022,6244
Vistara,BOM,DEL,8.45,11.00,2h15m,direct,01-01-2022,6244
Vistara,BOM,DEL,21.55,0.10,2h15m,direct,01-01-2022,6244
Vistara,BOM,DEL,15.45,18.05,2h20m,direct,01-01-2022,6244
Vistara,BOM,DEL,14.40,16.55,2h15m,direct,01-01-2022,6349
AlaskaSeaplanes,BOM,DEL,21.45,23.55,2h10m,direct,01-01-2022,18096
GoFirst,BOM,DEL,20.15,22.25,2h10m,direct,02-01-2022,4177
GoFirst,BOM,DEL,20.15,22.25,2h10m,direct,02-01-2022,4177
GoFirst,BOM,DEL,8.00,10.10,2h10m,direct,02-01-2022,4177
GoFirst,BOM,DEL,6.00,8.10,2h10m,direct,02-01-2022,4177
GoFirst,BOM,DEL,9.55,12.10,2h15m,direct,02-01-2022,4177
GoFirst,BOM,DEL,15.45,18.00,2h15m,direct,02-01-2022,4186
SpiceJet,BOM,DEL,21.45,23.55,2h10m,direct,02-01-2022,4491
SpiceJet,BOM,DEL,7.20,9.35,2h15m,direct,02-01-2022,4491
SpiceJet,BOM,DEL,10.15,12.30,2h15m,direct,02-01-2022,4491
SpiceJet,BOM,DEL,19.25,21.50,2h25m,direct,02-01-2022,4491
GoFirst,BOM,DEL,18.00,20.10,2h10m,direct,02-01-2022,4715
GoFirst,BOM,DEL,13.30,15.45,2h15m,direct,02-01-2022,5098
IndiGo,BOM,DEL,19.35,21.25,1h50m,direct,02-01-2022,5400
IndiGo,BOM,DEL,22.20,0.25,2h05m,direct,02-01-2022,5400
IndiGo,BOM,DEL,18.30,20.35,2h05m,direct,02-01-2022,5400
IndiGo,BOM,DEL,5.00,7.05,2h05m,direct,02-01-2022,5400
IndiGo,BOM,DEL,3.05,5.10,2h05m,direct,02-01-2022,5400
IndiGo,BOM,DEL,20.30,22.35,2h05m,direct,02-01-2022,5400
IndiGo,BOM,DEL,6.00,8.10,2h10m,direct,02-01-2022,5400
IndiGo,BOM,DEL,10.05,12.15,2h10m,direct,02-01-2022,5400
IndiGo,BOM,DEL,9.20,11.30,2h10m,direct,02-01-2022,5400
IndiGo,BOM,DEL,7.05,9.20,2h15m,direct,02-01-2022,5400
AirIndia,BOM,DEL,21.30,23.30,2h00m,direct,02-01-2022,5600
AirIndia,BOM,DEL,8.00,10.15,2h15m,direct,02-01-2022,5600
AirAsiaIndia,BOM,DEL,22.00,0.10,2h10m,direct,02-01-2022,5677
AirIndia,BOM,DEL,7.00,8.55,1h55m,direct,02-01-2022,5767
Vistara,BOM,DEL,7.30,9.40,2h10m,direct,02-01-2022,5938
GoFirst,BOM,DEL,21.15,23.30,2h15m,direct,02-01-2022,6202
Vistara,BOM,DEL,8.45,11.00,2h15m,direct,02-01-2022,6358
IndiGo,BOM,DEL,17.15,19.20,2h05m,direct,02-01-2022,6514
IndiGo,BOM,DEL,11.45,14.00,2h15m,direct,02-01-2022,6514
Vistara,BOM,DEL,6.30,8.35,2h05m,direct,02-01-2022,6673
AirAsiaIndia,BOM,DEL,7.20,9.30,2h10m,direct,02-01-2022,6755
IndiGo,BOM,DEL,15.50,18.00,2h10m,direct,02-01-2022,6776
IndiGo,BOM,DEL,13.40,15.50,2h10m,direct,02-01-2022,7091
Vistara,BOM,DEL,20.55,23.00,2h05m,direct,02-01-2022,7513
Vistara,BOM,DEL,22.45,0.55,2h10m,direct,02-01-2022,7514
Vistara,BOM,DEL,19.45,21.55,2h10m,direct,02-01-2022,7514
Vistara,BOM,DEL,11.55,14.05,2h10m,direct,02-01-2022,7514
Vistara,BOM,DEL,10.25,12.40,2h15m,direct,02-01-2022,7514
Vistara,BOM,DEL,17.35,19.45,2h10m,direct,02-01-2022,8038
Vistara,BOM,DEL,21.55,0.10,2h15m,direct,02-01-2022,8039
AirIndia,BOM,DEL,19.00,21.15,2h15m,direct,02-01-2022,8155
Vistara,BOM,DEL,12.25,14.30,2h05m,direct,02-01-2022,8773
Vistara,BOM,DEL,18.30,20.40,2h10m,direct,02-01-2022,8774
Vistara,BOM,DEL,14.40,16.55,2h15m,direct,02-01-2022,8774
Vistara,BOM,DEL,15.45,18.05,2h20m,direct,02-01-2022,8774
AlaskaSeaplanes,BOM,DEL,21.45,23.55,2h10m,direct,02-01-2022,16540
SpiceJet,BOM,DEL,7.20,9.35,2h15m,direct,02-01-2022,16540
SpiceJet,BOM,DEL,10.15,12.30,2h15m,direct,02-01-2022,16540
SpiceJet,BOM,DEL,19.25,21.50,2h25m,direct,02-01-2022,16540
AirAsiaIndia,BOM,DEL,8.15,16.15,8h00m,1stop,02-01-2022,5784
GoFirst,BOM,DEL,10.40,19.10,8h30m,1stop,02-01-2022,6732
GoFirst,BOM,DEL,19.15,23.30,4h15m,1stop,02-01-2022,6850
