Airline,Source,Destination,Dep time,Arr time,Duration,Total stops,Date,Price
Vistara,DEL,BLR,20.40,23.20,2h40m,direct,01-01-2022,7726
Vistara,DEL,BLR,16.05,18.50,2h45m,direct,01-01-2022,7726
Vistara,DEL,BLR,17.35,20.25,2h50m,direct,01-01-2022,7726
Vistara,DEL,BLR,14.15,17.00,2h45m,direct,01-01-2022,8146
Vistara,DEL,BLR,19.50,22.40,2h50m,direct,01-01-2022,8566
Vistara,DEL,BLR,9.05,11.50,2h45m,direct,01-01-2022,13606
GoFirst,DEL,BLR,6.05,8.40,2h35m,direct,02-01-2022,7422
Vistara,DEL,BLR,8.05,10.50,2h45m,direct,02-01-2022,8265
AirIndia,DEL,BLR,6.10,8.55,2h45m,direct,02-01-2022,8415
Vistara,DEL,BLR,20.40,23.20,2h40m,direct,02-01-2022,9315
Vistara,DEL,BLR,9.05,11.50,2h45m,direct,02-01-2022,9315
Vistara,DEL,BLR,19.50,22.40,2h50m,direct,02-01-2022,9315
IndiGo,DEL,BLR,6.10,8.50,2h40m,direct,02-01-2022,8475
IndiGo,DEL,BLR,7.20,10.15,2h55m,direct,02-01-2022,8685
GoFirst,DEL,BLR,18.40,21.25,2h45m,direct,02-01-2022,9576
SpiceJet,DEL,BLR,19.40,22.25,2h45m,direct,02-01-2022,9731
Vistara,DEL,BLR,17.35,20.25,2h50m,direct,02-01-2022,10995
Vistara,DEL,BLR,5.55,8.40,2h45m,direct,02-01-2022,7530
IndiGo,DEL,BLR,9.15,12.10,2h55m,direct,02-01-2022,9158
AirAsiaIndia,DEL,BLR,9.35,12.25,2h50m,direct,02-01-2022,9317
IndiGo,DEL,BLR,18.20,21.15,2h55m,direct,02-01-2022,9788
IndiGo,DEL,BLR,7.20,10.15,2h55m,direct,02-01-2022,8685
IndiGo,DEL,BLR,9.15,12.10,2h55m,direct,02-01-2022,9158
IndiGo,DEL,BLR,18.20,21.15,2h55m,direct,02-01-2022,9788
IndiGo,DEL,BLR,8.20,11.15,2h55m,direct,02-01-2022,10103
IndiGo,DEL,BLR,19.50,22.50,3h00m,direct,02-01-2022,10103
AirAsiaIndia,DEL,BLR,16.05,18.45,2h40m,direct,02-01-2022,11520
Vistara,DEL,BLR,14.15,17.00,2h45m,direct,02-01-2022,13305
IndiGo,DEL,BLR,2.30,5.25,2h55m,direct,02-01-2022,8055
IndiGo,DEL,BLR,4.15,7.10,2h55m,direct,02-01-2022,8475
SpiceJet,DEL,BLR,22.30,1.15,2h45m,direct,02-01-2022,8787
IndiGo,DEL,BLR,22.50,1.45,2h55m,direct,02-01-2022,8895
IndiGo,DEL,BLR,21.25,0.20,2h55m,direct,02-01-2022,9158
AirAsiaIndia,DEL,BLR,18.35,21.30,2h55m,direct,02-01-2022,11520
IndiGo,DEL,BLR,12.30,15.25,2h55m,direct,02-01-2022,13620
AirIndia,DEL,BLR,13.30,16.15,2h45m,direct,02-01-2022,14078
