Airline,Source,Destination,Dep time,Arr time,Duration,Total stops,Date,Price
GoFirst,DEL,BOM,08:45,10:55,2h10m,direct,2022-01-01,4189
GoFirst,DEL,BOM,08:45,10:55,2h10m,direct,2022-01-01,4189
SpiceJet,DEL,BOM,18:10,07:25,13h15m,1stop,2022-01-01,4059
GoFirst,DEL,BOM,02:00,04:15,2h15m,direct,2022-01-01,4189
SpiceJet,DEL,BOM,18:55,21:05,2h10m,direct,2022-01-01,4499
SpiceJet,DEL,BOM,07:20,09:35,2h15m,direct,2022-01-01,4499
SpiceJet,DEL,BOM,06:20,08:40,2h20m,direct,2022-01-01,4499
SpiceJet,DEL,BOM,19:45,22:05,2h20m,direct,2022-01-01,4499
GoFirst,DEL,BOM,12:45,15:00,2h15m,direct,2022-01-01,4719
GoFirst,DEL,BOM,10:30,12:50,2h20m,direct,2022-01-01,4719
Vistara,DEL,BOM,05:45,07:55,2h10m,direct,2022-01-01,5301
Vistara,DEL,BOM,07:30,09:45,2h15m,direct,2022-01-01,5301
Vistara,DEL,BOM,08:50,11:10,2h20m,direct,2022-01-01,5301
IndiGo,DEL,BOM,06:30,08:40,2h10m,direct,2022-01-01,5413
IndiGo,DEL,BOM,07:15,09:25,2h10m,direct,2022-01-01,5413
IndiGo,DEL,BOM,08:10,10:20,2h10m,direct,2022-01-01,5413
IndiGo,DEL,BOM,09:30,11:45,2h15m,direct,2022-01-01,5413
IndiGo,DEL,BOM,10:45,13:05,2h20m,direct,2022-01-01,5413
IndiGo,DEL,BOM,08:45,11:05,2h20m,direct,2022-01-01,5413
IndiGo,DEL,BOM,04:45,07:10,2h25m,direct,2022-01-01,5413
IndiGo,DEL,BOM,01:45,04:10,2h25m,direct,2022-01-01,5413
GoFirst,DEL,BOM,22:30,00:40,2h10m,direct,2022-01-01,5484
GoFirst,DEL,BOM,19:40,21:55,2h15m,direct,2022-01-01,5484
GoFirst,DEL,BOM,14:20,16:35,2h15m,direct,2022-01-01,5484
AirAsiaIndia,DEL,BOM,04:25,06:35,2h10m,direct,2022-01-01,5597
AirIndia,DEL,BOM,18:00,20:00,2h00m,direct,2022-01-01,5627
AirIndia,DEL,BOM,07:00,09:05,2h05m,direct,2022-01-01,5627
AirIndia,DEL,BOM,08:00,10:10,2h10m,direct,2022-01-01,5627
GoFirst,DEL,BOM,21:00,23:15,2h15m,direct,2022-01-01,5678
Vistara,DEL,BOM,09:30,11:35,2h05m,direct,2022-01-01,5873
Vistara,DEL,BOM,10:20,12:35,2h15m,direct,2022-01-01,5874
AirIndia,DEL,BOM,10:40,12:50,2h10m,direct,2022-01-01,6044
AirIndia,DEL,BOM,09:00,11:15,2h15m,direct,2022-01-01,6044
IndiGo,DEL,BOM,12:00,14:10,2h10m,direct,2022-01-01,6337
Vistara,DEL,BOM,15:30,17:40,2h10m,direct,2022-01-01,6601
Vistara,DEL,BOM,17:45,20:05,2h20m,direct,2022-01-01,6602
Vistara,DEL,BOM,11:40,14:00,2h20m,direct,2022-01-01,6602
